deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=11.329 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=11.505
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.443 repairs=0 repair_GPU_ms=0.023 prepack_wall_ms=8.637
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=8.246 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.421
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=8.168 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.344
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=8.309 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.488
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.698 repairs=0 repair_GPU_ms=0.009 prepack_wall_ms=8.872
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.421 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.597
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=13.873 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.077
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=7.440 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=7.625
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=7.756 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=7.957
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=8.081 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=8.262
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=7.994 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.189
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.171 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.327
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=8.152 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.331
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=8.273 repairs=0 repair_GPU_ms=0.009 prepack_wall_ms=8.454
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=7.713 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=7.875
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=8.054 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.232
