deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.085 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=14.283
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.905 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.087
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.620 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=13.811
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=13.955 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.135
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=14.251 repairs=0 repair_GPU_ms=0.009 batch_wall_ms=14.422
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=23.543 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=23.720
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=24.173 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=24.426
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=12.764 repairs=0 repair_GPU_ms=0.013 batch_wall_ms=12.961
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.284 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=13.468
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.741 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=13.935
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.023 pixels_wall_ms=13.513 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=13.707
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.476 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=13.648
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.913 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=14.077
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=11.793 repairs=0 repair_GPU_ms=0.008 batch_wall_ms=11.970
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=12.916 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=13.085
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=12.725 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=12.907
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=12.679 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=12.850
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.386 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=13.565
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.632 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=13.806
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.396 repairs=0 repair_GPU_ms=0.013 batch_wall_ms=13.576
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.258 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.455
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=25.992 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.185
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=16.997 repairs=0 repair_GPU_ms=0.008 batch_wall_ms=17.174
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=5.041 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.189
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.024 pixels_wall_ms=5.334 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.505
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=4.871 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.042
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=5.413 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.560
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=5.889 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=6.039
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=5.949 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=6.094
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=5.336 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.494
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=9.451 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=9.614
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=20.604 repairs=0 repair_GPU_ms=0.005 batch_wall_ms=20.750
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.277 pixels_wall_ms=47.167 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=47.656
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=26.360 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.565
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=26.300 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.550
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=26.224 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.466
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.029 pixels_wall_ms=26.644 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.934
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=26.657 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.913
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=22.675 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=22.945
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=15.777 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=16.059
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=10.307 repairs=0 repair_GPU_ms=0.008 batch_wall_ms=10.495
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.027 pixels_wall_ms=26.325 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.567
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=26.677 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.934
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=26.389 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.604
