scene,width,height,iterations,backend,frame,render_ms,total_ms,sha256
seahorse,512,512,1024,cpu,0,108.73599999999999,121.93454100633971,c5f069c7b09d908675c48158e59722a1a8910cba1f2b26c2c77727d7680ba0a6
seahorse,512,512,1024,cpu,1,107.931,111.16733400558587,c5f069c7b09d908675c48158e59722a1a8910cba1f2b26c2c77727d7680ba0a6
seahorse,512,512,1024,cpu,2,103.731,106.98687500553206,c5f069c7b09d908675c48158e59722a1a8910cba1f2b26c2c77727d7680ba0a6
seahorse,512,512,1024,cpu,3,111.482,114.88012499467004,c5f069c7b09d908675c48158e59722a1a8910cba1f2b26c2c77727d7680ba0a6
seahorse,512,512,1024,cpu,4,108.09899999999999,111.40983400400728,c5f069c7b09d908675c48158e59722a1a8910cba1f2b26c2c77727d7680ba0a6
seahorse,512,512,1024,cpu,5,105.326,108.8135419995524,c5f069c7b09d908675c48158e59722a1a8910cba1f2b26c2c77727d7680ba0a6
