scene,width,height,iterations,backend,frame,render_ms,total_ms,sha256
seahorse,512,512,1024,gpu,0,63.829,99.26533400721382,7bd8528b8f77e4c582ed9ed736597f725dd580ee9adce35e45fa524cdb97684a
seahorse,512,512,1024,gpu,1,14.803999999999998,19.65162499982398,7bd8528b8f77e4c582ed9ed736597f725dd580ee9adce35e45fa524cdb97684a
seahorse,512,512,1024,gpu,2,24.166999999999998,26.427208998939022,7bd8528b8f77e4c582ed9ed736597f725dd580ee9adce35e45fa524cdb97684a
seahorse,512,512,1024,gpu,3,12.526,14.686082999105565,7bd8528b8f77e4c582ed9ed736597f725dd580ee9adce35e45fa524cdb97684a
seahorse,512,512,1024,gpu,4,10.975,12.995540993870236,7bd8528b8f77e4c582ed9ed736597f725dd580ee9adce35e45fa524cdb97684a
seahorse,512,512,1024,gpu,5,10.584999999999999,12.930999990203418,7bd8528b8f77e4c582ed9ed736597f725dd580ee9adce35e45fa524cdb97684a
