scene,width,height,iterations,backend,frame,render_ms,total_ms,sha256
seahorse,3840,2160,1024,gpu,0,505.66299999999995,554.7614579991205,31f828e7216dd2c6e39890745df791907bf4f35ee7562a4ba8339741ba715650
seahorse,3840,2160,1024,gpu,1,1823.704,1873.2365830073832,31f828e7216dd2c6e39890745df791907bf4f35ee7562a4ba8339741ba715650
seahorse,3840,2160,1024,gpu,2,1892.655,1944.6002499898896,31f828e7216dd2c6e39890745df791907bf4f35ee7562a4ba8339741ba715650
seahorse,3840,2160,1024,gpu,3,4249.577,4304.690208999091,31f828e7216dd2c6e39890745df791907bf4f35ee7562a4ba8339741ba715650
