depth,width,height,iterations,frame,bits,gpu,repairs,render_ms,total_ms,sha256
100,3840,2160,4096,0,432,True,0,916.26,1058.093583007576,6b25d8f9f70eb66737a42720cc5f865e973170a426c46c14b1b08e24a669fec0
100,3840,2160,4096,1,432,True,0,851.2489999999999,976.1873329989612,6b25d8f9f70eb66737a42720cc5f865e973170a426c46c14b1b08e24a669fec0
100,3840,2160,4096,2,432,True,0,847.4599999999999,968.6500829993747,6b25d8f9f70eb66737a42720cc5f865e973170a426c46c14b1b08e24a669fec0
100,3840,2160,4096,3,432,True,0,13609.447999999999,13755.604165999102,6b25d8f9f70eb66737a42720cc5f865e973170a426c46c14b1b08e24a669fec0
