depth,width,height,iterations,frame,bits,gpu,repairs,render_ms,total_ms,sha256
100,2200,1560,4096,0,432,True,0,254.25199999999998,321.1342499998864,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
100,2200,1560,4096,1,432,True,0,224.809,269.1107499995269,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
100,2200,1560,4096,2,432,True,0,216.012,267.1978339931229,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
100,2200,1560,4096,3,432,True,0,218.732,272.9095840040827,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
