depth,width,height,iterations,frame,bits,gpu,repairs,render_ms,total_ms,sha256
100,2200,1560,4096,0,432,True,0,546.111,631.633208002313,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
100,2200,1560,4096,1,432,True,0,498.75,549.8881670064293,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
100,2200,1560,4096,2,432,True,0,501.188,558.9839579915861,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
100,2200,1560,4096,3,432,True,0,478.77799999999996,534.7739590069978,a7bbe712df4aae3abe47df71d04c2ebb39caa6af0e2f9d15800b510cc39804b9
