depth,width,height,iterations,frame,bits,gpu,repairs,render_ms,total_ms,sha256
68,512,384,16384,0,320,True,0,68.42399999999999,102.02945800847374,ea26f6e48a85b8d2006a5a0e8373e2efef9783ede04a7576b77c40fd43106be3
68,512,384,16384,1,320,True,0,9.873,12.985833018319681,ea26f6e48a85b8d2006a5a0e8373e2efef9783ede04a7576b77c40fd43106be3
